id,Grid cell,green_area_m2,city_level,neighborhood_level,trail,camera_surveillance,commercial_poi,public_poi,recreation_poi,housing_Owner,housing_Renter,housing_buld_age_1945 and before,housing_buld_age_1946-1990,housing_buld_age_1991 and after,housing_small_apartment,housing_large_apartment,housing_standalone_house,housing_auxiliary_house,housing_others,isco_High,isco_Medium,isco_Low,ethnical_EST,ethnical_RUS,age_0-9,age_10-19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80-89,age_90+,revised_landuse_11100,revised_landuse_11210,revised_landuse_11220,revised_landuse_12100,X,Y,landuse_diversity,numbers_against_public_order,numbers_violent_crime,numbers_against_property,Grid cell_count,geometry,crime_incidents
1,500mN6579500E534500,87263.047,293.54,4543.525,1051.469,0.0,0.0,2.0,1.0,48,3,0.0,51.0,0.0,1.0,18.0,79.0,0.0,2.0,11,3,9,44,7,3,7,3,7,4,8,8,6,5,0,,109464.28,79694.801,,534749.5,6579749.5,3,,,,,"POLYGON ((534500 6579500, 534500 6579999, 534999 6579999, 534999 6579500, 534500 6579500))",
2,500mN6579500E535000,26675.069,28.188,3747.517,371.002,0.0,0.0,0.0,0.0,240,22,0.0,258.0,35.0,1.0,10.0,118.0,0.0,6.0,77,34,44,278,11,27,32,33,38,45,38,38,18,20,4,,14387.668,187514.842,,535249.5,6579749.5,3,3.5,0.5,142.5,2.0,"POLYGON ((535000 6579500, 535000 6579999, 535499 6579999, 535499 6579500, 535000 6579500))",146.5
3,500mN6579500E535500,34570.188,1033.767,3472.457,616.484,0.0,3.0,0.0,0.0,297,14,0.0,341.0,27.0,1.0,20.0,70.0,0.0,3.0,48,50,86,339,22,27,40,35,44,45,55,52,45,24,0,,59009.091,113888.838,33783.671,535749.5,6579749.5,4,3.5,0.5,142.5,2.0,"POLYGON ((535500 6579500, 535500 6579999, 535999 6579999, 535999 6579500, 535500 6579500))",146.5
4,500mN6579500E536000,115311.402,0.0,1787.774,1831.268,0.0,0.0,0.0,0.0,53,7,0.0,40.0,25.0,0.0,11.0,49.0,1.0,11.0,15,6,6,58,5,8,6,3,4,9,8,8,12,7,0,,1398.917,143772.389,11208.645,536249.5,6579749.5,4,0.0,0.0,3.0,1.0,"POLYGON ((536000 6579500, 536000 6579999, 536499 6579999, 536499 6579500, 536000 6579500))",3.0
5,500mN6580000E534500,33491.531,98.575,4174.573,153.976,0.0,0.0,0.0,0.0,77,0,0.0,0.0,78.0,11.0,0.0,113.0,0.0,3.0,36,10,5,68,7,3,12,12,4,11,18,13,6,3,0,,205964.815,4315.367,,534749.5,6580249.5,3,0.0,0.0,1.5,2.0,"POLYGON ((534500 6580000, 534500 6580499, 534999 6580499, 534999 6580000, 534500 6580000))",1.5
6,500mN6591500E540000,9419.676,0.0,1254.96,75.051,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18147.06,540249.5,6591749.5,2,1.0,0.0,10.0,1.0,"POLYGON ((540000 6591500, 540000 6591999, 540499 6591999, 540499 6591500, 540000 6591500))",11.0
7,500mN6580000E535000,98116.292,0.0,2747.705,651.013,0.0,0.0,0.0,0.0,198,8,0.0,96.0,120.0,4.0,3.0,68.0,0.0,3.0,66,30,25,205,7,14,37,28,20,34,37,26,12,7,0,,16403.245,101373.919,,535249.5,6580249.5,3,1.0,0.0,3.0,1.0,"POLYGON ((535000 6580000, 535000 6580499, 535499 6580499, 535499 6580000, 535000 6580000))",4.0
8,500mN6580000E535500,70530.64,1006.31,3897.884,1034.258,0.0,1.0,0.0,0.0,323,39,0.0,363.0,33.0,6.0,26.0,23.0,0.0,0.0,80,64,87,287,90,33,44,46,48,68,63,44,25,17,8,,53254.337,51352.468,50208.25,535749.5,6580249.5,4,24.0,0.0,53.0,1.0,"POLYGON ((535500 6580000, 535500 6580499, 535999 6580499, 535999 6580000, 535500 6580000))",77.0
9,500mN6580000E536000,160154.112,18.804,702.199,800.321,0.0,0.0,0.0,0.0,27,4,0.0,11.0,20.0,0.0,4.0,6.0,0.0,0.0,5,5,4,30,0,5,5,0,4,8,0,3,3,3,0,,,11522.541,66300.729,536249.5,6580249.5,3,0.0,0.0,3.0,1.0,"POLYGON ((536000 6580000, 536000 6580499, 536499 6580499, 536499 6580000, 536000 6580000))",3.0
10,500mN6580500E534500,110636.959,14.628,3363.586,381.536,0.0,0.0,0.0,0.0,161,40,0.0,0.0,210.0,0.0,10.0,71.0,0.0,1.0,67,33,16,198,4,30,25,16,34,39,24,19,16,4,3,,66087.275,82772.16,,534749.5,6580749.5,3,0.0,0.0,1.5,2.0,"POLYGON ((534500 6580500, 534500 6580999, 534999 6580999, 534999 6580500, 534500 6580500))",1.5
11,500mN6580500E535000,166642.199,0.0,2905.864,112.007,0.0,0.0,0.0,0.0,208,21,0.0,12.0,221.0,2.0,8.0,37.0,0.0,0.0,85,30,22,216,12,27,41,36,19,46,45,7,8,8,0,,64125.876,8031.022,,535249.5,6580749.5,3,0.0,0.0,0.0,1.0,"POLYGON ((535000 6580500, 535000 6580999, 535499 6580999, 535499 6580500, 535000 6580500))",0.0
