,depth_sqrt,error_sqrt,depth_log2,error_log2,depth_auto,error_auto
0,5,0.5171787242105378,5,0.5229673868867218,5,0.42366438004145146
1,10,0.5204382926066123,10,0.5238777663839401,10,0.4220189779901711
2,15,0.506658768345847,15,0.521806330530446,15,0.4138855120606433
3,20,0.5135531043142179,20,0.525144260692764,20,0.418513559757685
4,25,0.5062498232759364,25,0.5268984020415255,25,0.41583124493154466
5,30,0.5062498232759364,30,0.5268449870489197,30,0.4162277487723618
6,35,0.5062498232759364,35,0.5268449870489197,35,0.4162277487723618
7,40,0.5062498232759364,40,0.5268449870489197,40,0.4162277487723618
8,45,0.5062498232759364,45,0.5268449870489197,45,0.4162277487723618
9,50,0.5062498232759364,50,0.5268449870489197,50,0.4162277487723618
