,depth_sqrt,r2_sqrt,depth_log2,r2_log2,depth_auto,r2_auto
0,5,0.4473810058578172,5,0.43950321345129256,5,0.3809133506957421
1,10,0.4218835919397651,10,0.43424828283442773,10,0.380149216191937
2,15,0.434755340061475,15,0.42725278823286683,15,0.3886741939541339
3,20,0.4478112069527863,20,0.4329404884900848,20,0.377625959937948
4,25,0.4470183563745893,25,0.4307136337205055,25,0.38099613900310547
5,30,0.4466311251532673,30,0.43100542302630257,30,0.3809189960984435
6,35,0.4466311251532673,35,0.43100542302630257,35,0.3809189960984435
7,40,0.4466311251532673,40,0.43100542302630257,40,0.3809189960984435
8,45,0.4466311251532673,45,0.43100542302630257,45,0.3809189960984435
9,50,0.4466311251532673,50,0.43100542302630257,50,0.3809189960984435
