,depth_sqrt,r2_sqrt,depth_log2,r2_log2,depth_auto,r2_auto
0,5,0.40047169771834445,5,0.39622389424139276,5,0.2917866011312765
1,10,0.38921372585377295,10,0.37895161352758777,10,0.3003928321412781
2,15,0.3989861963994808,15,0.3737193972143253,15,0.290101599473236
3,20,0.3911582068391929,20,0.370819946804541,20,0.3064950515086272
4,25,0.39141818277840335,25,0.3655801290099805,25,0.30458659452381226
5,30,0.39183183614422523,30,0.36546248473837695,30,0.30458659452381226
6,35,0.39183183614422523,35,0.36546248473837695,35,0.30458659452381226
7,40,0.39183183614422523,40,0.36546248473837695,40,0.30458659452381226
8,45,0.39183183614422523,45,0.36546248473837695,45,0.30458659452381226
9,50,0.39183183614422523,50,0.36546248473837695,50,0.30458659452381226
