,depth_sqrt,r2_sqrt,depth_log2,r2_log2,depth_auto,r2_auto
0,5,0.7283570490894435,5,0.7258146956304621,5,0.7503066681187187
1,10,0.7414474829241262,10,0.7291056579221131,10,0.7509018162668977
2,15,0.7407358562528127,15,0.7315732794235751,15,0.7522539637937312
3,20,0.7384083592342205,20,0.7356601004560522,20,0.7517892845009466
4,25,0.7394923037805478,25,0.7368027201993724,25,0.7512677752434996
5,30,0.7394636529992643,30,0.7368172034474216,30,0.7512677752434996
6,35,0.7394636529992643,35,0.7368172034474216,35,0.7512677752434996
7,40,0.7394636529992643,40,0.7368172034474216,40,0.7512677752434996
8,45,0.7394636529992643,45,0.7368172034474216,45,0.7512677752434996
9,50,0.7394636529992643,50,0.7368172034474216,50,0.7512677752434996
