,depth_sqrt,r2_sqrt,depth_log2,r2_log2,depth_auto,r2_auto
0,5,0.20929303914130398,5,0.22398605231793703,5,0.15160953074116876
1,10,0.19674166413435584,10,0.1956320253894728,10,0.123113560240603
2,15,0.1924556944738797,15,0.19380672549256767,15,0.12305798982614562
3,20,0.19236878197387966,20,0.1938252975355784,20,0.12305798982614562
4,25,0.19236878197387966,25,0.1938252975355784,25,0.12305798982614562
5,30,0.19236878197387966,30,0.1938252975355784,30,0.12305798982614562
6,35,0.19236878197387966,35,0.1938252975355784,35,0.12305798982614562
7,40,0.19236878197387966,40,0.1938252975355784,40,0.12305798982614562
8,45,0.19236878197387966,45,0.1938252975355784,45,0.12305798982614562
9,50,0.19236878197387966,50,0.1938252975355784,50,0.12305798982614562
