,depth_sqrt,error_sqrt,depth_log2,error_log2,depth_auto,error_auto
0,5,0.5549157419172284,5,0.5607671064856761,5,0.462245717936401
1,10,0.5567218869608971,10,0.5580362694399278,10,0.4563826422537285
2,15,0.5535572471256257,15,0.5660267138574159,15,0.45697947319353727
3,20,0.5623783929962415,20,0.5564513798075142,20,0.4508436413961723
4,25,0.5651819293620043,25,0.5561231650468429,25,0.4498198594590219
5,30,0.5645026435630397,30,0.5560767150555893,30,0.4495790795431126
6,35,0.5645026435630397,35,0.5560767150555893,35,0.4495790795431126
7,40,0.5645026435630397,40,0.5560767150555893,40,0.4495790795431126
8,45,0.5645026435630397,45,0.5560767150555893,45,0.4495790795431126
9,50,0.5645026435630397,50,0.5560767150555893,50,0.4495790795431126
