,depth_sqrt,error_sqrt,depth_log2,error_log2,depth_auto,error_auto
0,5,0.6747219652167004,5,0.6842203041916877,5,0.6558594321614841
1,10,0.6820300970506332,10,0.6992409968104483,10,0.6691947734598762
2,15,0.6836866807193395,15,0.6899429759421026,15,0.6659600887993629
3,20,0.6836866807193395,20,0.6899429759421026,20,0.6659600887993629
4,25,0.6836866807193395,25,0.6899429759421026,25,0.6659600887993629
5,30,0.6836866807193395,30,0.6899429759421026,30,0.6659600887993629
6,35,0.6836866807193395,35,0.6899429759421026,35,0.6659600887993629
7,40,0.6836866807193395,40,0.6899429759421026,40,0.6659600887993629
8,45,0.6836866807193395,45,0.6899429759421026,45,0.6659600887993629
9,50,0.6836866807193395,50,0.6899429759421026,50,0.6659600887993629
