Score,Factor
0.18527572331863465,commercial_poi
0.045579424593023624,public_poi
0.04099121169385401,housing_Renter
0.040332606186461915,camera_surveillance
0.03935296525675056,housing_Owner
0.03629124841037021,ethnical_RUS
0.03584942789676307,age_20-29
0.03460661696737732,age_60-69
0.03444312403299916,isco_Low
0.03267304358282507,age_50-59
0.030706338750576198,housing_others
0.029226509056265518,isco_Medium
0.028714720753640014,continuous_urban_fabric_m2
0.028609837598285264,industrial_commercial_m2
0.02631314706045642,housing_buld_age_1946-1990
0.026156192340522248,neighborhood_level
0.024073442221195375,isco_High
0.023760178164325362,recreation_poi
0.02180003138829378,age_30-39
0.02024201942180863,age_40-49
