Score,Factor
0.5596338567380763,commercial_poi
0.04112059653241842,trail
0.028847988876778516,X
0.026171357024639963,age_60-69
0.025246075611299375,public_poi
0.022072926988661614,age_70-79
0.019967914390158673,green_area_m2
0.019242231408670905,housing_buld_age_1946-1990
0.017533537247392577,housing_Renter
0.017018536672858044,neighborhood_level
0.01577361172295261,industrial_commercial_m2
0.015535261580009231,housing_Owner
0.013293202840215287,age_50-59
0.012223360043763478,isco_Low
0.011806230770793097,ethnical_RUS
0.011738784066614227,continuous_urban_fabric_m2
0.011538460987389199,age_10-19
0.011284714116426254,city_level
0.00956728239157459,isco_High
0.009536758855056431,housing_others
