Score,Factor
0.19868526596227074,commercial_poi
0.05086634475793482,public_poi
0.04096625744503656,ethnical_RUS
0.04092256798264062,age_60-69
0.0384858004959972,camera_surveillance
0.038285086325405414,housing_Owner
0.036747426628217804,housing_Renter
0.032124175362141176,age_50-59
0.03158827424859722,isco_Low
0.02907112970543442,continuous_urban_fabric_m2
0.028621062341336084,housing_buld_age_1946-1990
0.02854019889769859,isco_Medium
0.02779578622145555,neighborhood_level
0.02694754044902334,industrial_commercial_m2
0.026759098319519996,housing_others
0.025839888162803058,age_20-29
0.024574415795504637,age_70-79
0.02300083404404036,age_10-19
0.01925834728334066,X
0.019253875105650284,isco_High
