Score,Factor
0.5414696191779657,commercial_poi
0.03602109046523645,trail
0.03242908110253795,X
0.02948543542448266,age_60-69
0.02712914676878895,public_poi
0.02188436653290758,green_area_m2
0.021201599125746994,neighborhood_level
0.020850355972116652,housing_buld_age_1946-1990
0.01835254996332451,industrial_commercial_m2
0.018115781689231066,housing_Renter
0.01718526574727852,age_70-79
0.016180535553300915,housing_Owner
0.014799072847897792,city_level
0.014344268427743157,age_50-59
0.0126109957210341,continuous_urban_fabric_m2
0.012531290138625167,age_10-19
0.011724815630536012,ethnical_RUS
0.010768761307171642,ethnical_EST
0.009712868859670652,camera_surveillance
0.009351184723081305,isco_High
