Score,Factor
0.5409762634539526,commercial_poi
0.038554104740053365,trail
0.03119692059751136,X
0.029869529758101955,age_60-69
0.02631576236230754,public_poi
0.022413360602215278,housing_buld_age_1946-1990
0.02143963662025833,green_area_m2
0.019447078550689754,neighborhood_level
0.018864843362174356,industrial_commercial_m2
0.01812009234347815,age_70-79
0.017593605448216476,housing_Renter
0.014751304854210227,city_level
0.01403601235347244,ethnical_RUS
0.012451102654191972,age_50-59
0.01244299275781874,age_10-19
0.011666222690714866,continuous_urban_fabric_m2
0.011392157791885914,camera_surveillance
0.011005963725463124,ethnical_EST
0.010952924574567934,housing_buld_age_1991 and after
0.01047085838991901,isco_Low
