Score,Factor
0.26535043102083594,housing_Renter
0.23405803444003997,age_20-29
0.16528152559279322,commercial_poi
0.04122941475801912,age_50-59
0.03183710861101045,public_poi
0.025111714441624612,isco_Low
0.023032140182662357,age_30-39
0.018988804354670288,ethnical_RUS
0.01325285109837347,camera_surveillance
0.012018519705319664,housing_Owner
0.01190453023715677,age_40-49
0.011656446831584719,age_70-79
0.010771879662259691,recreation_poi
0.010490555865598947,age_60-69
0.010157974057298165,trail
0.008465785763440807,housing_buld_age_1946-1990
0.007941184721925204,Y
0.007602210599164095,housing_others
0.006645946949684039,neighborhood_level
0.006364083651009805,continuous_urban_fabric_m2
