Score,Factor
0.09570379810645285,commercial_poi
0.06254731015156835,public_poi
0.05606609687872934,camera_surveillance
0.05281124491701134,age_30-39
0.05259178223025297,continuous_urban_fabric_m2
0.046670959803260796,housing_Renter
0.04615167748012229,housing_others
0.04465731768140312,recreation_poi
0.03878055237510183,housing_large_apartment
0.0386567242950603,age_60-69
0.03142206779647784,age_50-59
0.029916663819651003,isco_Medium
0.028882015891414405,housing_Owner
0.028272075761463577,age_20-29
0.027143792141188616,age_10-19
0.025504558827176314,isco_Low
0.024422111306364024,isco_High
0.022171969237883487,age_0-9
0.021769505916418404,age_40-49
0.020133179394819945,housing_buld_age_1945 and before
