Score,Factor
0.1760594145415449,commercial_poi
0.08388250687783656,housing_others
0.07658615004647949,housing_Renter
0.06963191356677177,continuous_urban_fabric_m2
0.05857223094142509,public_poi
0.04949357902619003,age_50-59
0.03913514169586917,age_30-39
0.03853685842358892,recreation_poi
0.037534851948365526,camera_surveillance
0.03657210578399885,age_60-69
0.023013928095441085,age_10-19
0.022485852857124265,age_20-29
0.02132534651772996,trail
0.021240989152824102,isco_Medium
0.01990197754844742,housing_Owner
0.018373111226995267,housing_buld_age_1946-1990
0.017936208208864355,housing_large_apartment
0.0174680693728883,industrial_commercial_m2
0.01555667871285818,isco_Low
0.01228026830943078,housing_buld_age_1945 and before
