,trees_sqrt,r2_sqrt,trees_log2,r2_log2,trees_auto,r2_auto
0,30,0.7122600504336821,30,0.7304273724916633,30,0.7384805387278689
1,35,0.7185812113495407,35,0.7259034338356529,35,0.748524189110106
2,40,0.7153908374373259,40,0.728917906436003,40,0.7434106784356362
3,45,0.7164839788876242,45,0.729863019387406,45,0.7431838660011361
4,50,0.7167828696172839,50,0.7238085003726638,50,0.7453781592232613
5,55,0.7195240501372432,55,0.7216662541305172,55,0.744762811983721
6,60,0.7226493790025321,60,0.7250398271434204,60,0.7472333905332684
7,65,0.7209111584431395,65,0.7267753264126692,65,0.7508274779591902
8,70,0.7205259075634343,70,0.724624656807769,70,0.7513156620271442
9,75,0.7234559160309817,75,0.7275669951663544,75,0.7510684168777271
10,80,0.7291926556420938,80,0.7268535148917327,80,0.7536894716917752
11,85,0.7272458351739812,85,0.7257861984245851,85,0.7526959898886936
12,90,0.7279431841713755,90,0.7278198832277357,90,0.7535019340402452
13,95,0.728780984313463,95,0.7317827416464595,95,0.7529448590609477
14,100,0.732644518002552,100,0.7319820718969294,100,0.7527498499208287
15,105,0.7349100829997361,105,0.73323058228566,105,0.7523757870704928
16,110,0.7357714507570752,110,0.7335704745500438,110,0.7527582500778844
17,115,0.7356791270293904,115,0.7358460404528758,115,0.7519436352866338
18,120,0.7354184496263189,120,0.7393100505923111,120,0.7502823529937857
19,125,0.7329553455297017,125,0.7363504547672669,125,0.7502882622291204
20,130,0.7335002231898082,130,0.7346705193733228,130,0.7499709441706862
21,135,0.7331005867800283,135,0.7344485389542562,135,0.7514641763389696
22,140,0.7316124838708222,140,0.7333252158989283,140,0.7524581786855903
23,145,0.7331221293398856,145,0.73551468458187,145,0.7525061428887263
24,150,0.7329167333063488,150,0.7364338945705442,150,0.7524366204810062
25,155,0.7325248668837054,155,0.7371020775569879,155,0.7532368457004786
26,160,0.7326375741334349,160,0.738538678451339,160,0.7553659891004398
27,165,0.7324178708477511,165,0.738160678565953,165,0.7549855078528339
28,170,0.7326522393997271,170,0.7396556827528272,170,0.7540034738115327
29,175,0.7322893536983972,175,0.7387520504386351,175,0.7537740388483838
30,180,0.734033488099647,180,0.7376226285616652,180,0.753322669631296
31,185,0.7343715825430808,185,0.7367194714523748,185,0.7536189162949146
32,190,0.7340579028503018,190,0.7373839874589161,190,0.7535268903196002
33,195,0.7343351974694275,195,0.7399768314098593,195,0.753031711175568
34,200,0.7344276865961773,200,0.7400020610522617,200,0.7532042255561087
35,205,0.7347249945903386,205,0.7406716196131116,205,0.7531594088884581
36,210,0.7337965297826032,210,0.739545226001724,210,0.7518143879478831
37,215,0.7338173824486633,215,0.7389215283071328,215,0.7516041013534539
38,220,0.7344149787146408,220,0.7392344798454378,220,0.7517594568351187
39,225,0.7335202259967486,225,0.7394225138679233,225,0.7511799135177011
40,230,0.7332897035619047,230,0.7394438259589299,230,0.752025087620354
41,235,0.7334225370034606,235,0.7395449788349858,235,0.7528376727429025
42,240,0.7339880276457816,240,0.7392395332783865,240,0.7517300521923741
43,245,0.7344816639103475,245,0.7393593988464283,245,0.7514878136420353
44,250,0.7346768364998821,250,0.7396337449035716,250,0.7527993602601188
45,255,0.7355229457088874,255,0.739946450692927,255,0.7525320789217994
46,260,0.7351221356346255,260,0.7389374284251995,260,0.75223662398874
47,265,0.7347718798616324,265,0.7392645848486656,265,0.7522475796314099
48,270,0.7357518037305952,270,0.7398053150967858,270,0.752604538927496
49,275,0.7354644006158501,275,0.7401080398579156,275,0.7529429679624788
50,280,0.7342769150471724,280,0.7386417794825212,280,0.7531171937535861
51,285,0.7348862704766461,285,0.7393881386468321,285,0.7525962589790028
52,290,0.7358127637332753,290,0.7389168744515161,290,0.7527106700445463
53,295,0.7353630453829388,295,0.7386538203127724,295,0.751943597791932
54,300,0.735873835332346,300,0.7388781311738513,300,0.7513492261149871
55,305,0.7360735967216445,305,0.7385008846541266,305,0.7512142378288493
56,310,0.7365476063468398,310,0.738438619246709,310,0.7509213753144325
57,315,0.7368396876153049,315,0.7382780228871759,315,0.7513185315672525
58,320,0.7368290239750026,320,0.7387223540730579,320,0.7519688351207549
59,325,0.7362036470840806,325,0.7382828898074185,325,0.7522108143260617
60,330,0.7366684533605772,330,0.7381757116652473,330,0.752786251431916
61,335,0.7366547202509129,335,0.7381212599968417,335,0.7526480852249403
62,340,0.7364164263762782,340,0.7385813398716268,340,0.752702240253213
63,345,0.7361017954000069,345,0.7378062855933374,345,0.7522414171481755
64,350,0.736601052111717,350,0.7379626443882172,350,0.7516882964926923
65,355,0.7364047098928082,355,0.738533017000491,355,0.7512047603194287
66,360,0.7358983160728457,360,0.7386609744200963,360,0.751491104753624
67,365,0.7363685606187491,365,0.7385775939128492,365,0.7521299753195156
68,370,0.7373987372507365,370,0.7389459136492607,370,0.7523936156150834
69,375,0.7376370000913056,375,0.7387494424835848,375,0.7522476540273193
70,380,0.737596441930519,380,0.7383222886159173,380,0.7528162575631836
71,385,0.7382264637749809,385,0.7388043085252948,385,0.7532077060182587
72,390,0.7383791668724309,390,0.7382509605984686,390,0.754032748579158
73,395,0.7382756131328091,395,0.7382868162110618,395,0.7545387677066768
74,400,0.7373852689216904,400,0.7375975025138544,400,0.7535789710303008
75,405,0.7371950213457548,405,0.7371587963125248,405,0.7533806365927953
76,410,0.7373892007246521,410,0.7369456493680139,410,0.7531547362857147
77,415,0.7372773572621814,415,0.7366620194200277,415,0.753379055241395
78,420,0.7373495867545642,420,0.7366950380749412,420,0.7533914577778168
79,425,0.73766729995108,425,0.7371176117093291,425,0.7528157709524838
80,430,0.7381390435187666,430,0.7372541017193146,430,0.7525378797182001
81,435,0.7384441231565383,435,0.7373708635865683,435,0.7529333737926369
82,440,0.7388823110793632,440,0.7374695682705479,440,0.752768229336103
83,445,0.7387711703534128,445,0.7372434172724079,445,0.7524267250156191
84,450,0.7391462678577662,450,0.7366556550669633,450,0.7525119195618489
85,455,0.739295771035651,455,0.7364614994704591,455,0.7525315872520186
86,460,0.7389957767868279,460,0.7360218526517606,460,0.7525914126646034
87,465,0.7388455667832134,465,0.7361836186575407,465,0.7524534319120658
88,470,0.7389395030402859,470,0.7356315185119235,470,0.7522928287696413
89,475,0.7391494067486775,475,0.7361112628302806,475,0.7519116213115884
90,480,0.7391143545954132,480,0.7359992176410561,480,0.7515490773146971
91,485,0.7393747970995334,485,0.7359428241764384,485,0.7515465659835956
92,490,0.7394616567202515,490,0.736491394519794,490,0.7515295643411004
93,495,0.7395825540452636,495,0.7361387825459127,495,0.7513227999851753
94,500,0.7394636529992643,500,0.7368172034474216,500,0.7512677752434996
