,trees_sqrt,r2_sqrt,trees_log2,r2_log2,trees_auto,r2_auto
0,30,0.08709762992305718,30,0.1042995963852166,30,0.019149662648404474
1,35,0.10179987587571795,35,0.10596147024095512,35,0.04490532132585072
2,40,0.12268958345910944,40,0.12212382589337714,40,0.04958217084925953
3,45,0.0973947931392299,45,0.14524020026171253,45,0.02563874850176214
4,50,0.10355771211640241,50,0.1407425159550757,50,0.050080438603308006
5,55,0.0969628685610602,55,0.15180147760805424,55,0.06763498691195742
6,60,0.08959690847979851,60,0.14887645490327026,60,0.05582875588182969
7,65,0.08811105009460327,65,0.1579209428473039,65,0.06441361389741816
8,70,0.08781391615681246,70,0.1624918385696891,70,0.04897318306453065
9,75,0.11146331235785065,75,0.1742884774552214,75,0.05090850000315165
10,80,0.11210864802238665,80,0.16627866857517049,80,0.06472741498186749
11,85,0.12946489177121973,85,0.17977034742866013,85,0.07099686216157611
12,90,0.1439186820746598,90,0.1763752216436325,90,0.08408524666804632
13,95,0.14684450035102053,95,0.15857170984857033,95,0.06551349578865873
14,100,0.1581973251017738,100,0.16700543144101715,100,0.07963449385726801
15,105,0.16919991801589634,105,0.17765686220904886,105,0.06993276828890843
16,110,0.16910162596930886,110,0.1858754481969485,110,0.08025393534961317
17,115,0.16340900410201714,115,0.18681314488594522,115,0.0794711316531729
18,120,0.17486154428777928,120,0.19397209643621452,120,0.08505271473462717
19,125,0.17986085297691176,125,0.19557765689272166,125,0.09141640530577219
20,130,0.18872944320458035,130,0.1988709980610545,130,0.09093005937951797
21,135,0.1923627348053852,135,0.2046097491954058,135,0.09518746544247492
22,140,0.19001721901179947,140,0.20252976616370696,140,0.08904015057801237
23,145,0.19469904230461807,145,0.2078025896942431,145,0.09217791867264327
24,150,0.20209587991595995,150,0.2128286218886463,150,0.09863058504723358
25,155,0.19647651484425813,155,0.2173023350993215,155,0.10497032787461821
26,160,0.19092586028933073,160,0.21906572986462386,160,0.10523179760589577
27,165,0.18005253396117266,165,0.2150659234927545,165,0.09418487083907792
28,170,0.17806453315959878,170,0.21432906857024295,170,0.09670344633476732
29,175,0.1784024053468348,175,0.2139706281386557,175,0.10561804561210546
30,180,0.1765059534559351,180,0.2089007411886999,180,0.10317997672403878
31,185,0.17629591383456344,185,0.20955362376912706,185,0.10154413929743673
32,190,0.1780531583392157,190,0.20653903106328658,190,0.10284612413331626
33,195,0.17717392422242706,195,0.2016293383585795,195,0.10108217277773172
34,200,0.17732492404395434,200,0.19803129126958743,200,0.10116658317428422
35,205,0.1812050196099418,205,0.2032879434209493,205,0.09856279784454056
36,210,0.18257866504641837,210,0.2030265260975331,210,0.09860075349073283
37,215,0.18235201414607266,215,0.20254031672232964,215,0.09862529957252271
38,220,0.18370827709567922,220,0.20382732674768703,220,0.09449970324030692
39,225,0.18556514903250743,225,0.20657409086140346,225,0.09359402756609676
40,230,0.18289687053399797,230,0.20956488351453909,230,0.09480320001262359
41,235,0.17903889354349967,235,0.2122447547626855,235,0.09531496433703959
42,240,0.18237681272733264,240,0.20974401864625056,240,0.09807363537766549
43,245,0.17986909988984448,245,0.20957744529944664,245,0.102334553199857
44,250,0.18036102147998934,250,0.20797411902559984,250,0.1047220958327254
45,255,0.174999433588276,255,0.2050355043759188,255,0.09778765143810483
46,260,0.17391735374030243,260,0.20317013623636565,260,0.09903163764135806
47,265,0.1733775168292179,265,0.20173474281450687,265,0.10236276739558589
48,270,0.17318862540359403,270,0.20182876373504516,270,0.10749690633918933
49,275,0.17425102523092656,275,0.19840629430985965,275,0.10854832839942159
50,280,0.173479558901425,280,0.1954153875006423,280,0.10752377477886335
51,285,0.1677229613301837,285,0.1939387330647647,285,0.10482086271553144
52,290,0.16804606085895193,290,0.19514117916103477,290,0.10074853150505281
53,295,0.17047115471355684,295,0.19879066796028563,295,0.10245671450649899
54,300,0.17239321335902563,300,0.19707129507028737,300,0.1038960626874426
55,305,0.17567792677163171,305,0.1991726777622391,305,0.10804471460187523
56,310,0.17423806139491077,310,0.1983830750157491,310,0.10823029320278046
57,315,0.17786487909001095,315,0.19856475434820578,315,0.10731896143330728
58,320,0.17517859813489695,320,0.19958682212006687,320,0.10828876249372117
59,325,0.17774256587653497,325,0.1999125833998382,325,0.1100769558995867
60,330,0.1708243038884597,330,0.19977387637787647,330,0.10859312995312678
61,335,0.1755901852195888,335,0.201405258308691,335,0.1078466832907008
62,340,0.17609896533491404,340,0.19949422507071843,340,0.10538863534209209
63,345,0.17902265276310986,345,0.20014198218778084,345,0.10871248841597284
64,350,0.17967544234945385,350,0.19794047416408939,350,0.10860959233184682
65,355,0.18089193510164964,355,0.19752374821187396,355,0.10747300752683935
66,360,0.18255126665718682,360,0.1995289504280165,360,0.11002420191626976
67,365,0.18503221656778512,365,0.19850752522228693,365,0.11251814988946648
68,370,0.1878575237455932,370,0.19747693915629555,370,0.10988685052253269
69,375,0.18794319096816053,375,0.19845913120880287,375,0.11245587837193116
70,380,0.18665541494007992,380,0.19789400977164914,380,0.10960825321466561
71,385,0.18849571239104512,385,0.20068935659707945,385,0.11262289754096559
72,390,0.19017357886800773,390,0.2021958258454383,390,0.11306301783013901
73,395,0.1919467473273342,395,0.2025791375018212,395,0.11381685227065023
74,400,0.19231836326992707,400,0.20205119785447034,400,0.11361823283473046
75,405,0.19161469424015848,405,0.2031462716434894,405,0.11518086103236529
76,410,0.1950990126747561,410,0.20469974789074366,410,0.11764874235365952
77,415,0.1962278055939921,415,0.20440691355673835,415,0.11846376427689231
78,420,0.19682435139635293,420,0.20172153121094977,420,0.11890738601787695
79,425,0.19679785249417714,425,0.1979972499410243,425,0.12039846821399931
80,430,0.1964961957902852,430,0.1985921846147202,430,0.11759977025158355
81,435,0.1957872149822517,435,0.19970742375454278,435,0.11606348682927896
82,440,0.19604514649391347,440,0.19957178739064987,440,0.11767810895202083
83,445,0.19294651208982366,445,0.19841424353692083,445,0.11496550854518647
84,450,0.19319483546740387,450,0.19775322478559812,450,0.11690944073295077
85,455,0.1929080608646091,455,0.1978220637374696,455,0.11795428925860083
86,460,0.19523356163492922,460,0.19847726169289967,460,0.11955134702727363
87,465,0.19265154252584663,465,0.19860055882468117,465,0.12219704054779978
88,470,0.1933308862998204,470,0.1986726470957132,470,0.12457565531600368
89,475,0.1927323929953885,475,0.19835142363420616,475,0.12512021333923928
90,480,0.19364164889083824,480,0.19755589792814549,480,0.12555581211523814
91,485,0.19261109256355397,485,0.1972440214888596,485,0.12508638130130306
92,490,0.19346350704007542,490,0.1970865748161768,490,0.12406803410644454
93,495,0.19364582805498637,495,0.194602374672292,495,0.12306965445669485
94,500,0.19236878197387966,500,0.1938252975355784,500,0.12305798982614562
